file_path,total_communications,final_position_error,final_rotation_error,position_convergence_comm,rotation_convergence_comm,position_convergence_ratio,rotation_convergence_ratio,total_iterations,experiment_name,algorithm,grid_size
data/results/seq/grid_6_6_asapp_2025-08-10_16-00-58/residual_and_ate.txt,9102,0.048813727014676,0.0209878064864178,8788,8610,0.965502087453307,0.9459459459459459,362,grid_6_6_asapp_2025-08-10_16-00-58,asapp,6_6
data/results/seq/grid_6_6_dgs_2025-08-10_15-05-02/residual_and_ate.txt,50414,0.1230224056978742,0.0897921529278888,8960,8960,0.17772840877534019,0.17772840877534019,362,grid_6_6_dgs_2025-08-10_15-05-02,dgs,6_6
data/results/seq/grid_6_6_geodesic-mesa_2025-08-10_15-05-02/residual_and_ate.txt,3601,0.0026766593698809,0.0011416948061506,2500,2480,0.6942515967786725,0.6886975840044433,362,grid_6_6_geodesic-mesa_2025-08-10_15-05-02,geodesic-mesa,6_6
data/results/seq/grid_7_7_asapp_2025-08-10_16-00-58/residual_and_ate.txt,10333,0.0411677103178862,0.0173456449130009,10031,9846,0.9707732507500242,0.9528694474015291,422,grid_7_7_asapp_2025-08-10_16-00-58,asapp,7_7
data/results/seq/grid_7_7_dgs_2025-08-10_15-05-02/residual_and_ate.txt,67216,0.137967547447176,0.0986140202608383,10400,10400,0.1547250654606046,0.1547250654606046,422,grid_7_7_dgs_2025-08-10_15-05-02,dgs,7_7
data/results/seq/grid_7_7_geodesic-mesa_2025-08-10_15-05-02/residual_and_ate.txt,4201,0.004683034209256,0.0018689272032043,2590,2580,0.6165198762199476,0.6141394905974767,422,grid_7_7_geodesic-mesa_2025-08-10_15-05-02,geodesic-mesa,7_7
data/results/seq/grid_8_8_asapp_2025-08-10_16-00-59/residual_and_ate.txt,13809,0.0604743824231074,0.0281131877431915,12419,11457,0.8993410094865667,0.8296762980664784,482,grid_8_8_asapp_2025-08-10_16-00-59,asapp,8_8
data/results/seq/grid_8_8_dgs_2025-08-10_15-05-03/residual_and_ate.txt,100821,0.1227514698655116,0.1021882396418373,13650,13650,0.1353884607373464,0.1353884607373464,482,grid_8_8_dgs_2025-08-10_15-05-03,dgs,8_8
data/results/seq/grid_8_8_geodesic-mesa_2025-08-10_15-05-03/residual_and_ate.txt,4801,0.001343820496603,0.0005311390308067,3600,3600,0.749843782545303,0.749843782545303,482,grid_8_8_geodesic-mesa_2025-08-10_15-05-03,geodesic-mesa,8_8
data/results/seq/grid_9_9_asapp_2025-08-10_16-11-33/residual_and_ate.txt,17392,0.0231537304004883,0.0149477462947267,16818,15604,0.9669963201471942,0.8971941122355106,542,grid_9_9_asapp_2025-08-10_16-11-33,asapp,9_9
data/results/seq/grid_9_9_dgs_2025-08-10_15-05-04/residual_and_ate.txt,145827,0.1380926710765204,0.1190124095623443,17550,17280,0.12034808368820589,0.11849657470838734,542,grid_9_9_dgs_2025-08-10_15-05-04,dgs,9_9
data/results/seq/grid_9_9_geodesic-mesa_2025-08-10_15-05-04/residual_and_ate.txt,5401,0.001659566922278,0.0005963691830667,4640,4630,0.8591001666358082,0.8572486576559897,542,grid_9_9_geodesic-mesa_2025-08-10_15-05-04,geodesic-mesa,9_9
