file_path,total_communications,final_position_error,final_rotation_error,position_convergence_comm,rotation_convergence_comm,position_convergence_ratio,rotation_convergence_ratio,total_iterations,experiment_name,algorithm,grid_size,position_convergence_iteration,position_convergence_time,rotation_convergence_iteration,rotation_convergence_time,robot_count
data/results/seq/grid_11_11_geodesic-mesa_2025-08-10_15-11-38/residual_and_ate.txt,6601,0.001560538969185,0.0005721210156396,6350,6210,0.9619754582638994,0.940766550522648,662,grid_11_11_geodesic-mesa_2025-08-10_15-11-38,geodesic-mesa,11_11,6350.0,620.813,6210.0,608.497,11
data/results/seq/grid_11_11_asapp_2025-08-10_16-14-30/residual_and_ate.txt,26547,0.0577569992929931,0.0269985547989957,25394,24767,0.9565675970919502,0.9329491091272084,662,grid_11_11_asapp_2025-08-10_16-14-30,asapp,11_11,6280.0,1072.9,6110.0,1047.06,11
data/results/seq/grid_11_11_dgs_2025-08-10_15-11-38/residual_and_ate.txt,264040,0.1786697751275259,0.1431730001735842,26000,25600,0.0984699287986668,0.0969550068171489,662,grid_11_11_dgs_2025-08-10_15-11-38,dgs,11_11,650.0,64.0107,640.0,62.8272,11
data/results/seq/grid_12_12_dgs_2025-08-10_15-15-44/residual_and_ate.txt,338447,0.2043151032456621,0.1523556188189195,30550,30080,0.0902652409387585,0.088876544924316,722,grid_12_12_dgs_2025-08-10_15-15-44,dgs,12_12,650.0,63.1434,640.0,62.6714,12
data/results/seq/grid_12_12_geodesic-mesa_2025-08-10_15-15-44/residual_and_ate.txt,7201,0.0041201618135101,0.001614228961691,6990,6940,0.9706985140952644,0.9637550340230524,722,grid_12_12_geodesic-mesa_2025-08-10_15-15-44,geodesic-mesa,12_12,6990.0,630.166,6940.0,626.427,12
data/results/seq/grid_12_12_asapp_2025-08-10_16-17-28/residual_and_ate.txt,30767,0.0493809944552545,0.0283171131039912,28360,24082,0.9217668280950368,0.7827217473266812,722,grid_12_12_asapp_2025-08-10_16-17-28,asapp,12_12,6590.0,1081.72,5490.0,923.69,12
data/results/seq/grid_13_13_geodesic-mesa_2025-08-10_15-18-51/residual_and_ate.txt,7801,0.0047122564023826,0.0018216303541761,7770,7760,0.9960261504935264,0.9947442635559544,782,grid_13_13_geodesic-mesa_2025-08-10_15-18-51,geodesic-mesa,13_13,7770.0,655.635,7760.0,654.894,13
data/results/seq/grid_13_13_dgs_2025-08-10_15-18-51/residual_and_ate.txt,421254,0.1980266657144586,0.1624070217881656,35640,35100,0.084604537879759,0.0833226509421869,782,grid_13_13_dgs_2025-08-10_15-18-51,dgs,13_13,660.0,76.4936,650.0,75.3596,13
data/results/seq/grid_13_13_asapp_2025-08-10_16-36-24/residual_and_ate.txt,35637,0.0637425710189039,0.0342612452597838,33481,32496,0.9395010803378512,0.9118612677834834,782,grid_13_13_asapp_2025-08-10_16-36-24,asapp,13_13,7280.0,1187.93,7040.0,1148.22,13
data/results/seq/grid_14_14_dgs_2025-08-10_15-25-17/residual_and_ate.txt,478857,0.3364833558424086,0.2103821791940846,37050,36480,0.07737174145935,0.07618140697536,842,grid_14_14_dgs_2025-08-10_15-25-17,dgs,14_14,650.0,61.8692,640.0,60.6457,14
